CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
c2d43a1d492f   eloquent_tu             0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
11c1f1a417e7   distracted_kalam        0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
01f98a657d3c   eager_mccarthy          0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
00bd4715b75e   dreamy_johnson          0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
c245c37f36d4   pedantic_khayyam        0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
376345ffe5d7   romantic_wright         0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
dc500aa7bde8   frosty_aryabhata        0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
c83c68fc045c   hardcore_jones          0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
76d9019359ff   happy_nash              0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
dec01bf6169e   romantic_roentgen       0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
0685e6fb281f   tender_chaum            0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
8e969723cef5   funny_swanson           0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
85ab8427559a   stupefied_diffie        0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
d8a9780588ed   trusting_colden         0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
baaf91057db0   zealous_einstein        0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
70d42ce59f2b   eager_kepler            0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
90b0beaf1458   sweet_lalande           0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
73acdd628514   friendly_cray           0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
e145baea3fba   cranky_goodall          0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
e6924aa8dee8   lucid_cartwright        0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
7c511f64be8b   flamboyant_cartwright   0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
482cdfa7099c   festive_curie           0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
